id,title
19,Австралия
20,Австрия
5,Азербайджан
21,Албания
22,Алжир
23,Американское Самоа
24,Ангилья
25,Ангола
26,Андорра
27,Антигуа и Барбуда
28,Аргентина
6,Армения
29,Аруба
30,Афганистан
31,Багамы
32,Бангладеш
33,Барбадос
34,Бахрейн
3,Беларусь
35,Белиз
36,Бельгия
37,Бенин
38,Бермуды
39,Болгария
40,Боливия
235,"Бонайре, Синт-Эстатиус и Саба"
41,Босния и Герцеговина
42,Ботсвана
43,Бразилия
44,Бруней-Даруссалам
45,Буркина-Фасо
46,Бурунди
47,Бутан
48,Вануату
233,Ватикан
49,Великобритания
50,Венгрия
51,Венесуэла
52,"Виргинские острова, Британские"
53,"Виргинские острова, США"
54,Восточный Тимор
55,Вьетнам
56,Габон
